Исполнитель ТП;id;status;priority;subject;Секция НЭП;Jira;Тип запроса;Способ решения;Сервис НЭП;Срок;Сервис Фабр.;ТП №;description;created_on;updated_on;SLA
Ткач И.;131432;Выполнена;Вне очереди;Переторжка Конкурс № 2658246;;https://jira.fabrikant.ru/browse/ROSATOM-1692;Ошибка в техническом задании на разработку ПО;Вручную;;;Росатом;2658246;"орг. https://www.fabrikant.ru/admin/firms/?id=60193  тп ""Конкурс № 2658246"" https://www.fabrikant.ru/trades/atom/Tender/?action=view&id=5653#lot_1  организатор принял решение по процедуре провести переторжку повторно, обратился в Гринатом, там ему помогли передать протокол по переторжке на этп, протокол был передан 2020-06-04 15:08:02 После публикации данного протокола на этп процедура завершилась  следом пришел пакет по переторжке, который упал в ошибку, так как процедура была завершена  у организатора на сегодняшний день просрочены сроки проведения всех переторжек прошу уточнить почему данный протокол завершил процедуру и как мы можем помочь организатору провести переторжку на данный момент   ";2020-06-05T08:20:56Z;2020-06-11T08:12:52Z;
Халилова А.;132837;На контроле;Вне очереди;Поля для назаначения переторжки в форме создания переговоров;;;Ошибка в техническом задании на разработку ПО;Вручную;;;Процедуры 2.0;5113011;"ООО ""ВЕТРОПАРКИ ФРВ"" https://www.fabrikant.ru/admin/firms/index.html?id=746906  № 5113011 Люба, привет, у Ветропарков опять при назначении переговоров, отображаются поля для переторжки, просьба поправить в шаблоне, чтобы эти поля у них не отображались.";2020-06-22T07:22:18Z;2020-06-30T07:53:52Z;
Халилова А.;133363;На контроле;Вне очереди;ошибка при интеграции протокола ;;;Ошибка, просьба пользователя (ошибок ЭТП нет);Вручную;;;Процедуры 2.0;5109629, 5112900;"№ 223229 - ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЭРОПОРТ БАЙКАЛ (УЛАН-УДЭ)"" ( 0326506956 ) https://www.fabrikant.ru/admin/firms/?id=223229  в процедурах  Запрос предложений №5109629 https://www.fabrikant.ru/v2/trades/procedure/view/5pSLMPSx2L8E1EutbpRcJQ при интеграции протокола рассмотрения в ЕИС некорректно подтягивается дата и время проведения процедуры (время должно быть  10:00.)  Запрос предложений №5112900 https://www.fabrikant.ru/v2/trades/procedure/view/eq1tm50_hgfH2QyDf3GFoA при интеграции протокола рассмотрения в ЕИС некорректно подтягивается дата и время проведения процедуры (время должно быть  11:00.), прошу исправить и повторно интегрировать протоколы в ЕИС. черновики в ЕИС удалили. прошу помочь скрин из ЕИС";2020-06-26T14:19:17Z;2020-06-26T17:12:14Z;
Халилова А.;133600;На контроле;Вне очереди;не импортировалась закупка на Фабрикант ;;;Ошибка, просьба пользователя (ошибок ЭТП нет);Вручную;;;Интеграция ЕИС;;"№ 174905 - ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ГЛАВНОЕ ВОЕННО-СТРОИТЕЛЬНОЕ УПРАВЛЕНИЕ ПО СПЕЦИАЛЬНЫМ ОБЪЕКТАМ"" 7734003657 https://www.fabrikant.ru/admin/firms/?id=174905  разместили процедуру в ЕИС 32009283512, не подтягивается на Фабрикант  прошу импортировать процедуру   процедура в ЕИС https://zakupki.gov.ru/epz/order/extendedsearch/results.html?searchString=32009283512+&morphology=on&search-filter=%D0%94%D0%B0%D1%82%D0%B5+%D1%80%D0%B0%D0%B7%D0%BC%D0%B5%D1%89%D0%B5%D0%BD%D0%B8%D1%8F&pageNumber=1&sortDirection=false&recordsPerPage=_10&showLotsInfoHidden=false&sortBy=UPDATE_DATE&fz44=on&fz223=on&af=on&ca=on&pc=on&pa=on&currencyIdGeneral=-1 ";2020-06-30T14:00:39Z;2020-07-02T15:46:50Z;
;76702;На контроле;Критично (A);Загруженный сертификат не отображается в системе.;;https://jira.fabrikant.ru/browse/SITE-7916;Баг (ошибка в коде);;;;ЭП (сертификаты в ЛК, УЦ);;Клиент: https://www.fabrikant.ru/admin/firms/?id=745206&__tmc=0.10671500+1532943444 В ЛК загружен сертификат ЭП 00AF63E07AC40CC980E8116B6543B70E76 01.06.2018 - 01.06.2019 Статус: передан на проверку.  В информационной карте мы тоже видим факт загрузки сертификата:  Статус: На проверке. Сертификат действителен до 2019-06-01 10:14:00  Со слов клиента сертификат загружен 18.07.2018 до сегодняшнего дня его не проверили.  И в 2.0 админке данного сертификата нет.   Надо выяснить почему загруженный сертификат не отображается у нас в админке 2.0 и исправить. ;2018-07-30T09:43:04Z;2020-06-18T15:41:31Z;
Ткач И.;127163;Выполнена;Критично (A);Добавить заказчика в списки организаций в ЛК;;;Ошибка, просьба пользователя (ошибок ЭТП нет);Вручную;;;Процедуры 2.0;;"Орг. ""Филиал ВГСО Сибири и Алтая ФГУП ВГСЧ"" ИНН:7717036797/КПП:422802001 https://www.fabrikant.ru/admin/firms/index.html?id=830676 опубликовал извещение о закупке на фабриканте №5095523 https://www.fabrikant.ru/v2/trades/procedure В ЛК на фабриканте в списках организаций нет возможности выбрать заказчика - головную организацию https://www.fabrikant.ru/admin/firms/?id=821179 ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ВОЕНИЗИРОВАННАЯ ГОРНОСПАСАТЕЛЬНАЯ ЧАСТЬ""  ИНН:7717036797/КПП:772301001. По поиску организация не находится. Прошу пояснить, почему нет возможности добавить головную организацию https://www.fabrikant.ru/admin/firms/?id=821179 в списки организаций ";2020-04-23T09:38:11Z;2020-06-17T13:31:26Z;
Халилова А.;127845;На уточнении;Критично (A);ошибка при загрузке плана ;;https://jira.fabrikant.ru/browse/SITE-8020;Баг (ошибка в коде);Вручную;;;План закупок;;"№ 735366 - ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ФОРТУМ"" (7203162698) https://www.fabrikant.ru/admin/firms/?id=735366  ошибка при загрузке плана закупок 2190409644 Версия: 45  в позиции 163 ругается на Способ закупки. перепроверила все верно указали прошу помочь ";2020-04-29T16:00:54Z;2020-07-03T10:29:19Z;
Григорьев Е.;130499;На уточнении;Критично (A);2673008 нет возможности подать ценовое предложение;;;Ошибка внешней системы;Вручную;;;Росатом;2673008 ;"https://www.fabrikant.ru/admin/firms/index.html?id=91717 № 91717 - Федеральное государственное унитарное предприятие ""Научно-исследовательский технологический институт им. А.П. Александрова"" ( Сосновый Бор )  https://www.fabrikant.ru/trades/atom/PriceRequest/?action=view&id=52568  К заказчику обратились участники, что не могут подать ценовое предложение, а именно указать цены за еденицу тов.  Коллеги прошу проверить, есть ли у участников подать заявку в процедуру. ";2020-05-28T08:52:17Z;2020-06-02T11:13:42Z;
Ткач И.;131982;Выполнена;Критично (A);изменение сроков по процедуре 2678449;;;Ошибка, просьба пользователя (ошибок ЭТП нет);Вручную;;;Процедуры 1.0, 1.5;2678449;"№ 799948 - Публичное акционерное общество ""Силовые машины – ЗТЛ, ЛМЗ, Электросила, Энергомашэкспорт"" ( Санкт-Петербург ) https://www.fabrikant.ru/admin/firms/?id=799948  просят внести изменения в процедуру 2678449  https://www.fabrikant.ru/trades/corporate/ProcedurePurchase/?action=view&id=61366#lot_1  необходимо: Дата и время окончания приема заявок: 15.06.2020 15:00 Дата и время рассмотрения заявок: 16.06.2020 15:00 Дата и время подведения итогов закупки: 17.06.2020 15:00   заявок 1, протоколов 0, процедура коммерческая ";2020-06-10T16:04:56Z;2020-06-17T10:14:16Z;
- Не выбран -;132233;На уточнении;Критично (A);потенциальная утечка информации по торговым процедурам;;https://jira.fabrikant.ru/browse/SITE-8477;;Не установлен;;;;;"Коллеги, прошу проверить информацию по утечке данных с площадки через агрегаторов.  Наш ТОП-клиент ПАО Силовые машины сообщили, что к ним обратилась ЭТП ТЭК-Торг с предложением о переводе части закупок на их площадку. В составе предложения были данные о количестве участников в проводимых на Фабриканте закупках СМ.  ТЭК-Торг клиенту объяснил это тем, что данные об участниках находятся в открытом доступе на странице одного из агрегаторов торгов. Название агрегатора клиент к сожалению не зафиксировал (говорит, что название возможно начинается на ""Р"").  СМ проводит коммерческие закупки, данные по количеству участников в которых мы скрываем. Они не должны попадать и к агрегаторам, поэтому прошу провести проверку и ограничить распространение этой информации в случае подтверждения.  Дополнительно прошу по возможности провести общую проверку по набору данных, отдаваемой агрегаторам. С учетом того, что периодически появляются новые кейсы, стоит систематизировать и унифицировать набор таких данных, чтобы в дальнейшем снизить вероятность повторения проблемы. ";2020-06-15T11:06:31Z;2020-06-17T09:58:32Z;
